N	L	Type	TGTM	Env	ris	sahu	tag	tuk	mar	syang	gha	pra	nar	phu	tang	xtang	x
62	1	R	wal		al,wal	al	wal,wai	o	ol	?	ad,ol	wol	?	?	?	?	x
63	1	R	wai		wai	wai	wai	oj	we	?	we,wi	we	we,ɔe,øe	øi	oe,je	?	x
64	1	R	jal		jal	jal	jal	jal,jəl	il,iː,jal	?	jaːla,e	?	?	?	?	?	x
65	1	R,V	o		o	o	o	o	o	o,u	o	o,wo	ɔ,o	ɔ	o	o	x
66	1	R	oː		oː	oː	oː	o	o,u	o	u	o	ɔː,oː	ɔː	oʔ	oʔ	x
67	1	R	oi		oi	oi,e	oe	oi=oj	oi	we	we=oe	wɛː=we	?	?	?	?	x
68	1	R	joi		joi	joi	joe	e	ʌe	e	jwi	eː	juː	?	jɔ	?	x
69	1	R	ok		oː,o	ok	?	?	?	?	?	?	?	?	ok	?	x
70	2	R	ot		ot	ot,oi,op	oi=oe,oː	oi=oj	?	oi	wi	e,we,i	?	?	?	?	x
71	1	R	ot	/t,d,tʰ_	ot	ot,oi,op	oi=oj	e	e	ʌi,e	i	e	ɔe,øe,we	øː	e	e	x
72	2	R	jot		jot	jot,joi,jop	?	je	?	?	jwi	i	?	?	e	?	x
73	1	R	jot	/s_	jot	jot,jop	joː,joe	je	?	?	jwi	?	?	?	e	?	x
74	1	R	wap		op	?	?	əw	ʌp	op	o	oː	?	?	əu	?	x
75	1	R	op		op	op	op	əp	o	?	o	?	?	?	əu	?	x
76	1	R	oŋ		oŋ	oŋ	oŋ	oŋ,uŋ	oŋ,oː,uŋ	uŋ	õ	oŋ,o,oː	ɔŋ	ɔ̃	?	?	x
77	2	R	on		on	?	on	on	ʌn	on	aẽ,wẽ	wẽ,ẽ	?	?	?	?	x
78	1	R	on	/tsʰ_	on	on,om	?	oi=oj	ʌe	ɛ	?	e	?	?	?	?	x
79	1	R	jon		jon	jon	jon	en	jen	jan,jon	rẽ,jwẽ	jẽ,je	?	jon=jøn	en	?	x
80	1	R	om		om	om	om	om	?	?	õ	ẽ	om	om	om	?	x
81	1	R	or		or	or	or	or	or	o	u,a,ur	or	or	or	or	?	x
281	1	R	ol		ol	?	?	?	?	?	?	?	ol	?	?	?	x
82	1	R,V	u		u	u	u	u	u	u	u	u	u	ᴜ	u	?	x
83	1	R	uː		uː	uː	uː	u	u	u,uː	u	u	uː	u	u	?	x
84	1	R,V	ju		ju	?	?	?	?	?	ju	?	ju	ju	?	?	x
85	1	R	juː		juː	juː	juː	?	?	?	i	?	juː	juː	?	?	x
86	2	R	uk		uː	uk	?	?	?	?	?	?	u	u	uk	uk	x
87	2	R	ut		ut	ut,up	ui	?	?	wi	ui=wi	u	?	?	?	?	x
88	2	R	ut	/j_	ut	ut,up	u	u	uː	?	?	iː	?	?	?	?	x
89	1	R	ut	/r,ʈ,ɖ_	ut	ut,up	ui=uj	i	i,it	i	i,wi	iː	?	?	i	i	x
90	1	R	ut	/t,d,tʰ_	ut	ut,up	ui	ui=uj	wi	?	i	iː	yiː	y,yi	i	?	x
91	1	R	up		up	up	up	up	u	u	u,uː	uː	uː	uː	up	up	x
92	2	R	jup		jup	jup	jup	ip,jup	ju	ju	ju	?	juː	juː	?	?	x
93	2	R	uŋ		uŋ	uŋ	uŋ,ũ	uŋ	uŋ,um	uŋ,um	ũ	ũ,uŋ	uŋ	uŋ,ũ	uŋ	?	x
94	1	R	un	/s_	un	un,um	un	un	un	?	i	ĩ	un	?	?	?	x
95	1	R	won	/ʰŋ_	un	on,om	on	on	?	?	wĩ	wẽ	um	?	?	?	x
96	1	R	un		un	un,una	un	un	un	?	wĩ	?	?	?	un	?	x
97	1	R	um		um	um	um	um	um	um	ũ	ũ=uŋ	um	?	uŋ	uŋ	x
98	1	R	ur		ur	ur	ur	ur	ur	ur	ur	ur	?	ur	ur	?	x
99	2	R	ul		ul	ul	?	?	o	il,?	u,ul	uː	?	?	?	?	x
100	1	I	k		k	k	k	k	k	k	k	k	k	k	k	?	x
101	2	I	k	/_w	k	Ø	h	k	k	k	k	k	k	k	k	?	x
102	2	I	kʰ		kʰ	kʰ	h	kʰ	kʰ	kʰ	kʰ	kʰ	kʰ	kʰ	kʰ	?	x
103	2	I	kʰ	/_w	kʰ	h	h	kʰ	kʰ	kʰ	kʰ,k	kʰ	?	?	?	?	x
104	2	I	g	/ᴬ_	k	k	k,g	k	k,g	k,g	k	k	k,g	˰g	k,kʰ,g	?	x
105	2	I	g	/ᴮ_	k	k	k,g	k	k	g	k,g	kʰ	g	g	k,kʰ,g	?	x
106	2	I	g	/_w	k,Ø	Ø	Ø	k	k	?	k	k,kʰ	g	g	kj,k	?	x
107	2	O	gj	/ᴬ_	kj	kj	kj	kj	kj	gj	kj	kj	?	?	kj	?	x
108	2	O	gj	/ᴮ_	kj	kj	kj	kj	kj	gj	k,kj	kʰj	gj	gj	kj,kɟ	kj	x
109	2	O	kr	/_eː	k	k	k	ʈ	k	k	kr	kr	kr	kr	kr	kr	x
110	2	O	kr	/_u	kr	kr	h	ʈ	k	k	kr	kr	kr	kr	k	k	x
111	1	O	kr	/_a	kr	kr	hw	ʈ	kj	kj	kr	kr	kr	kr	kr	kr	x
112	1	O	kr	/_at	kr	kr	h	ʈ	kj,k	kj	kr	kr	?	?	k,kj	?	x
113	2	O	kr		kr	kr	h	ʈ	k	k	kr	kr	?	?	k	?	x
114	3	O	kʰr		kʰr	kʰr,hr	hw,h	ʈʰ	kʰj	kʰj	kʰr	hr,tʃʰj,kr	khr	?	kʰ=kh	?	x
214	3	O	kʰr	/_u	kʰr	kʰr,hr	hw,h	ʈʰ	kʰ	kʰ	kʰr	hr,tʃʰj,kr	khr	?	kʰ=kh,k	kʰ=kh,k,h	x
115	2	O	gr	/ᴬ_	kr	kr	w,h	?	k	g,gj	kr	kr	gr	gr	ɖ	?	x
116	3	O	gr	/ᴮ_e	kr	?	h	?	?	?	?	?	?	?	?	?	x
117	3	O	gr	/ᴮ_i	k	k	k	ʈ	k	g	gr	hr,kʰr	gr	gr=kr	k,g,ɖ	g	x
118	2	O	gr	/ᴮ_	kr	kr	kr	ʈ	k	g	kr	hr=rʰ	gr	kr,gr	?	?	x
119	2	O	gr	/ᴮ_w	k	Ø	h	ʈ	k,ʈ	k,ʈ	kr	hr	gr	kr,gr	g,kʱ,kʰ	g	x
120	1	O	grw		kw	w	hw	ʈ	k,ʈ	k,g,ʈ	krw	hr	?	kr	?	?	x
121	1	O	kl	/_i,e	kl	kl	kʰl,kl	k	hɬ	l	ɬ	k	kl	?	k	k	x
122	2	O	kl	/_a	kl	kl	?	kj	lj	lj	ɬ	kj	?	?	?	?	x
123	2	O	kl		kl	kl	kl	kj	lj	lj	ɬ	kj	?	?	?	?	x
124	3	O	kʰl		kʰl	kʰl	kʰl	kʰj	hɬ	ɬj	ɬ	kʰj	?	?	?	?	x
125	2	O	gl	/ᴬ_	kl	kl	hl	kj	lj	?	ɬ	?	kl	?	kj,kʱj,kʰ	?	x
126	1	O	gl	/ᴮ_	kl	kl	kʰl	kj	lj	lj	ɬ	kʰj,k	gl	gl	kj,kʱj,kʰj	?	x
127	2	O	gl	/ᴮ_i,e	kl	kl	kʰl	k	l	l	ɬ	kʰ	gl	gl	kʰ	kʰ	x
128	1	O	ts	/_i	ts	ts	ts	ts	tɕ	tʃ	ts	tɕ	?	?	ts	?	x
129	2	O	ts		ts	ts	ts	ts	ts	ts	ts	ts	?	?	ts	?	x
130	2	O	tsʰ	/_i,j	tsʰ	tsʰ	tsʰ	tsʰ	tɕʰ	tʃʰ	tsʰ	tɕʰ	?	?	?	?	x
131	1	O	tsʰ		tsʰ	tsʰ	tsʰ	tsʰ	tsʰ	tsʰ	tsʰ	tsʰ	tsʰ	tsʰ	tsh	?	x
132	1	O	dz	/ᴬ_	ts	ts	ts,dz	ts	ts	ts	ts	ts	?	?	ts,dz	?	x
133	1	O	dz	/ᴮ_	ts	?	ts,dz	ts,s	ts	ts	ts,dz	tsʰ	?	?	ts,dz	?	x
134	1	O	tsj		tsj	tsj	tsj	tsj,ts	tɕ,tsj	?	tsj	tɕ	?	?	?	?	x
135	1	O	tsʰj		tsʰj	tsʰj	tsʰj	tsʰj,tsʰ	tɕʰ	?	tsʰj	tɕʰ	?	?	tʃhj	?	x
136	1	O	dzj		tsj	tsj	tsj,dzj	tsj,ts	tɕ,tsj	?	tsj	tɕ	?	?	?	?	x
137	2	O	ʈ		ʈ	ʈ	ʈ	ʈ	ʈ	ʈ	ʈ	ʈ	ʈ	ʈ	ʈ	?	x
138	2	O	ʈʰ		ʈʰ	ʈʰ	?	?	?	?	?	?	?	?	?	?	x
139	1	O	ʈ.Hr.ʈʰ		ʈ	ʈ	ʈ	hr=ʰr	hr	hr	r	ʈ	hr	hʃ=hr	hr	hr	x
140	2	O	ɖ	/ᴬ_	ʈ	ʈ	ʈ,ɖ	ʈ	ʈ	ʈ	ʈ	ʈ	?	?	ɖ,ʈ	?	x
141	1	O	ɖ	/ᴮ_	ʈ	ʈ	ʈ	ʈ	ʈ	ɖ	ʈ	ʈʰ	ɖ	ɖ	ɖ,ʈ	?	x
142	2	I	t		t	t	t	t	t	t	t	t	?	?	t	?	x
143	2	I	tʰ	/_a	tʰ	tʰ	tʰ	tʰ	tʰ	tʰ	tʰ	tʰ	?	?	tʰ=th	?	x
144	1	I	tʰ		tʰ	tʰ	tʰ	tʰ	tʰ	tʰ,t	tʰ,t	tʰ	?	?	tʰ=th	?	x
145	2	I	d	/ᴬ_	t	t	t	t	t	t	t	t	?	?	d,t	?	x
146	2	I	d	/ᴮ_	t	t	t	t	t	d,t	d,t	tʰ	?	?	d,t	d	x
147	2	I	p		p	p	p	p	p	p	p	p	?	?	p	?	x
148	2	I	pʰ	/ᴬ_	pʰ	pʰ	pʰ	pʰ	pʰ	pʰ	pʰ	pʰ	?	?	pʰ=ph,f	?	x
149	3	I	pʰ	/ᴮ_	pʰ	pʰ	pʰ	pʰ	pʰ	pʰ	pʰ,p	pʰ	?	?	pʰ=ph,f	?	x
150	1	I	b	/ᴬ_	p	p	p,b	p	p	p	p	p	p	p	b,p	b	x
151	1	I	b	/ᴮ_	p	p	p,b	p	p	b	b	pʰ	?	?	b,p	?	x
152	1	I	b	/ᴮ_j,r,l	p	p	p	p	p	p	p	pʰ	?	?	?	?	x
153	2	O	pj		pj	pj	pj	pj	pj	pj	pj	pj	?	?	?	?	x
154	2	O	pʰj		pʰj	pʰj	?	pʰj	pʰj	pʰj	pʰj	pʰj	?	?	?	?	x
155	1	O	bj		pj	pj	bj	?	bj	bj	pj,bj	pj,pʰj	?	?	?	?	x
156	1	O	bl	/ᴬ_	pl	pl	pl	pl	pl	pl	pl	pl	?	?	p	?	x
157	2	O	bl	/ᴮ_	pl	pl	pl	pl	pl	pl	pl	pʰl	?	?	p	?	x
158	2	O	p.ml		pl	pl	?	ml	ml	ml	ml	?	?	?	?	?	x
159	1	O	ʰŋ		ŋ,h,Ø	ŋ,Ø	ŋ,w	ŋ	ŋ,w	ŋ	ŋ,w,Ø	ŋ	ŋ	ŋ	ŋ,n	?	x
160	2	O	ʰŋ	/_an	ŋ	ŋ	ŋ	ŋ	ŋ	ŋ	ŋ	ɲ	?	?	?	?	x
161	1	O	ʰŋ	/_i,j	ŋ	?	n	ɲ	ɲ	ɲ	n,ŋ	ɲ	?	?	?	?	x
162	1	O	ŋ		ŋ,h̃	ŋ	ŋ	ŋ	ŋ	ŋ	ŋ	ŋ	?	?	?	?	x
163	1	O	ŋ	/_i,j	ŋ	?	n	ɲ	ɲ	ɲ	n,ŋ	ɲ	ɲ	ɲ	?	?	x
164	1	O	ʰɲ		ŋj	ɲ	ɲ	ɲ,m	?	?	ɲ=ŋj,n,ŋ	ɲ	?	?	?	?	x
165	1	O	ɲ		ŋj	ɲ	ɲ	ɲ	?	?	ɲ=ŋj,n,j	ɲ	?	?	j	?	x
166	1	O	ʰn		n	n	n	n	n	n	n	n	?	n	n	?	x
167	1	O	n		n	n	n	n	n	n	n	n	?	n	n	?	x
168	1	O	ʰn	/_i,e	n	ɲ	n,ɲ	ɲ,n	ɲ	n,ɲ	n,ɲ	ɲ	ɲ	?	ɲ,n	ɲ,n	x
169	1	O	n	/_i	n	ɲ	n	ɲ=ŋ	ɲ	n	ŋ	ɲ	?	?	ɲ,n	?	x
170	1	O	n	/_e	n	ɲ	ɲ	ɲ=ŋj	ɲ	nj,ɲ	ɲ=ŋ	ɲ	ɲ	?	ɲ	?	x
171	1	I	ʰm		m	m	m	m	m	m	m	m	?	?	m	?	x
172	1	I	m		m	m	m	m	m	m	m	m	?	?	m	?	x
173	1	O	ʰmj		mj	mj	mj	mj	mj	mj	mj	mj	?	?	mj	?	x
174	1	O	mj		mj	mj	mj	mj	mj	mj	mj	mj	?	?	mj	?	x
175	1	O	ʰml		ml	ml	ml	ml	ml	ml	ml	?	ml	ml	m	?	x
176	1	O	ml		ml	ml	ml	ml	ml	ml	ml	?	ml	?	m,mɾ	?	x
276	1	O	ʰmr		mr	?	?	?	?	?	?	?	?	?	m,n	?	x
177	1	O	ʰj		j	j	j	j	j	j	j	j	?	?	j	?	x
178	1	O	j		j	j	j	j	j	j	j	j,Ø	?	j	j	?	x
179	1	G	j		j	j	j	j	j	j	j	j,Ø	?	?	j	?	x
180	2	G	j	/_at	j	j,Ø	j,Ø	j,Ø	?	Ø	Ø	j	?	?	?	?	x
181	2	O	Hr		hr	r,hr	s	hr=rʰ	hr	hr	r	hr	?	?	hr	?	x
182	1	O	ʰr		r	r	r	r	r	r	r	r	r	r	r	?	x
183	1	O	r		r	r	r	r	r	r	r	r	r	r	r	?	x
184	1	L	r	/P_	r	r	r	r	r	r	r	r	r	r	Ø,r	?	x
185	1	L	r	/P_an	r	r	?	r	Ø	r,Ø,?	Ø	r,Ø,?	?	?	Ø,r	?	x
186	1	O	Hl		hl	l	l	hl=lʰ	l,hɬ	hl	l	hl	hɬ,ɬ	hɬ	lh=hl	?	x
187	1	O	ʰl		l	l	l	l	l	hɬ	l	l	l	l	l,lh=hl	?	x
387	1	O	ʰl	/_i,e	l	l	l	l	l	hɬ	l	l	hɬ,ɬ	hɬ	l,lh=hl	?	x
188	1	O	l		l	l	l	l	l	l	l	l	l	l	l	?	x
189	2	L	l		l	l	l	l	l	l	l	l	?	?	Ø	?	x
190	2	O	ʰw		w	w	w	w	w	w	w	w	?	?	?	?	x
191	1	O	w		w	w	w	w	w	w	w	w	?	?	?	?	x
192	1	G	w		w	w	w	w	w	w	w	w	?	?	Ø	?	x
193	1	I	s		s	s	s	s	s	s	s	s	s	s	s	?	x
194	2	I	s	/_u	s	s	s	s	s	ʃj	s	s	?	?	s	?	x
195	1	I	s	/_i,j,e	s=ʃ	s=sj	ʃ=ʃj	s=sj	ɕ	ʃ	ʃ=s	ʃ=ʃj	ʃ	ʃ	s,ʃ	?	x
196	1	O	ɕ		sj	sj	ʃ=ʃj	s=sj	ɕ	ʃ=ʃj	ʃ=s	ʃ=ʃj	?	?	sj	?	x
197	2	I	z		s	s	s	s	s	s	s	s	?	?	s	?	x
198	1	O	ʑ		sj	sj	ʃ=ʃj	s=sj	ɕ	ʃ=ʃj	ʃ=s	ʃ=ʃj	?	?	sj	?	x
199	1	I	h	/_w	h	?	?	Ø	?	?	?	?	?	?	h	?	x
200	2	I	h		h	h	h	h	h	h	h	h	?	?	h	?	x
201	2	F	k		k	ː	Ø,k	Ø,k	Ø	Ø	Ø	Ø	?	?	k	?	x
202	2	V	i	/_k	i	i	i	i	ɤi	ɨ	i	i	?	?	i	?	x
203	1	F	t		t	t,ː	?,ː	Ø	?	?	Ø,ː	ː	?	?	Ø	?	x
204	1	F	p		p	p	p	p,w	p,Ø	p,Ø	Ø,ː	Ø,ː	?	?	p	?	x
205	1	V	a	/_p	a	a	a	ə	o	o	a	e	?	?	a	?	x
206	1	V	o	/_p	o	o	o	ə	ʌ	o	o,u	o	?	?	o	?	x
207	1	V	u	/_p	u	u	?	u	?	?	u	u	?	?	u	?	x
208	1	F	l		l	l	l	l	l	?	Ø,ː	l	?	?	l	?	x
209	1	F	s		s	s	s	s	?	?	?	ː	?	?	r,s,Ø	?	x
